0, 279, 2574, 1528, 1046
1, 1078, 8044299, 7973159, 71140
2, 2002, 27975001, 27729939, 245062
3, 3093, 50639949, 50197533, 442416
4, 4193, 78264549, 77581349, 683200
5, 5336, 106792974, 105861112, 931862
6, 6541, 134463924, 133290874, 1173050
7, 7740, 163896174, 162466584, 1429590
8, 8945, 193490649, 191803105, 1687544
9, 10234, 225333099, 223368007, 1965092
10, 11523, 257221899, 254978855, 2243044
11, 12788, 287836276, 285326188, 2510088
12, 14143, 321323981, 318522193, 2801788
13, 15518, 354997256, 351901962, 3095294
14, 16802, 386793558, 383420918, 3372640
15, 18167, 386793558, 383420918, 3372640
16, 19523, 420258258, 416593930, 3664328
17, 20799, 453630056, 449675050, 3955006
18, 22167, 485333658, 481102114, 4231544
19, 23526, 519029906, 514504856, 4525050
20, 24882, 552656831, 547838679, 4818152
21, 26231, 586028831, 580919799, 5109032
22, 27574, 619169081, 613771189, 5397892
23, 28940, 652541283, 646852309, 5688974
24, 30298, 685959431, 679979375, 5980056
25, 31611, 718937488, 712669974, 6267514
26, 32963, 752772988, 746210554, 6562434
27, 34321, 786168163, 779314647, 6853516
28, 35688, 819656240, 812510632, 7145608
29, 37026, 852634063, 845201211, 7432852
30, 38402, 886423415, 878695845, 7727570
31, 39771, 920073313, 912052641, 8020672
32, 41115, 920073313, 912052641, 8020672
33, 42400, 953028163, 944720247, 8307916
34, 43789, 984986690, 976400014, 8586676
35, 45178, 1018845163, 1009963567, 8881596
36, 46549, 1053213890, 1044032526, 9181364
37, 47953, 1086933515, 1077458241, 9475274
38, 49336, 1121487440, 1111710984, 9776456
39, 50726, 1155438645, 1145366449, 10072196
40, 52110, 1189807170, 1179435408, 10371762
41, 53509, 1224175897, 1213504367, 10671530
42, 54905, 1258613745, 1247642245, 10971500
43, 56299, 1292889570, 1281619312, 11270258
44, 57658, 1327003372, 1315435568, 11567804
45, 59055, 1361116770, 1349251824, 11864946
46, 60442, 1394929095, 1382769431, 12159664
47, 61784, 1428046372, 1415597848, 12448524
48, 63074, 1460120370, 1447392480, 12727890
49, 64480, 1460120370, 1447392480, 12727890
50, 65832, 1494303697, 1481277655, 13026042
51, 67237, 1527536647, 1514220937, 13315710
52, 68653, 1562020877, 1548404781, 13616096
53, 70060, 1596667502, 1582749416, 13918086
54, 71442, 1631082377, 1616864321, 14218056
55, 72815, 1665080304, 1650565712, 14514592
56, 74182, 1698591354, 1683784670, 14806684
57, 75557, 1732565702, 1717463088, 15102614
58, 76936, 1766169452, 1750773938, 15395514
59, 78313, 1799796377, 1784107761, 15688616
60, 79688, 1833631877, 1817648341, 15983536
61, 81059, 1867421027, 1851142975, 16278052
62, 82431, 1901163827, 1884591663, 16572164
63, 83810, 1934790752, 1917925486, 16865266
64, 85175, 1968371529, 1951213363, 17158166
65, 86542, 2002090984, 1984639098, 17451886
66, 87925, 2035833784, 2018087786, 17745998
67, 89302, 2035833784, 2018087786, 17745998
68, 90655, 2069437534, 2051398636, 18038898
69, 92018, 2103087836, 2084755432, 18332404
70, 93381, 2137247584, 2118617634, 18629950
71, 94746, 2170735459, 2151813619, 18921840
72, 96121, 2204293061, 2185078523, 19214538
73, 97465, 2237943161, 2218435319, 19507842
74, 98817, 2270921186, 2251125898, 19795288
75, 100000, 2304524936, 2284436748, 20088188
